date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,prob_calm,prob_normal,prob_stress,state,reason
2025-05-21,39.12,0.9570337238067879,0.9570337238067873,4.851393137716359e-12,0.7041502526082315,0.29584974738437464,1,HMM: normal regime (OVX=39.1)
2025-05-22,41.44,0.9531476769565321,0.9531476769565318,6.359577617138287e-12,0.29986948781723166,0.7001305121747423,0,HMM: stress regime (OVX=41.4)
2025-05-23,43.13,0.9482562308710565,0.9482562308710559,1.0206441434451839e-12,0.7060023281312158,0.29399767186685466,1,HMM: normal regime (OVX=43.1)
2025-05-27,41.94,0.9445291896824575,0.9445291896824569,9.034182282178806e-12,0.2983171298904289,0.7016828701015858,0,HMM: stress regime (OVX=41.9)
2025-05-28,40.42,0.938600734827809,0.9386007348278087,5.1619313091805415e-12,0.7071838899944097,0.2928161099983445,1,HMM: normal regime (OVX=40.4)
2025-05-29,40.26,0.9375142812113936,0.9375142812113932,0.00025250776977544316,0.2978238076927932,0.7019236845397034,0,HMM: stress regime (OVX=40.3)
2025-05-30,40.71,0.938181900853851,0.9381819008538507,0.09777759160545983,0.7082540192863674,0.19396838910811948,1,HMM: normal regime (OVX=40.7)
2025-06-02,38.7,0.9422574833234268,0.9422574833234265,0.5318595060155591,0.1988297334344057,0.26931076054963005,2,HMM: calm regime (OVX=38.7)
2025-06-03,37.75,0.9462365260334288,0.9462365260334282,0.6840670897269947,0.2739018022798377,0.04203110799067535,2,HMM: calm regime (OVX=37.8)
2025-06-04,37.7,0.9488801899670394,0.9488801899670388,0.758353397891512,0.04157780601783536,0.20006879608743783,2,HMM: calm regime (OVX=37.7)
2025-06-05,34.89,0.954357378943062,0.9543573789430615,0.7458717026514308,0.2216398460401166,0.03248845130785502,2,HMM: calm regime (OVX=34.9)
2025-06-06,35.72,0.9593430114217506,0.9593430114217503,0.7461310780607717,0.03689653501785497,0.21697238691777174,2,HMM: calm regime (OVX=35.7)
2025-06-09,34.42,0.9638509326416811,0.9638509326416808,0.7014584098980604,0.2686100939562019,0.029931496146014994,2,HMM: calm regime (OVX=34.4)
2025-06-10,35.05,0.9667071375151306,0.9667071375151302,0.6833741074514691,0.046725841592532694,0.2699000509533585,2,HMM: calm regime (OVX=35.0)
2025-06-11,43.24,0.9615390330500663,0.9615390330500659,0.012494002746329565,0.9489132171006665,0.03859278015347416,1,HMM: normal regime (OVX=43.2)
2025-06-12,45.37,0.9516086502277922,0.9516086502277918,2.4259665279332367e-06,0.04764938543471788,0.9523481886017949,0,HMM: stress regime (OVX=45.4)
2025-06-13,57.23,0.934232596428869,0.9342325964288687,2.7748441548672214e-30,0.9666984491395404,0.03330155086219929,1,HMM: normal regime (OVX=57.2)
2025-06-16,56.6,0.9158087126550134,0.9158087126550131,2.1218649534915113e-35,0.03412419650403296,0.9658758034989552,0,HMM: stress regime (OVX=56.6)
